frame_no,stall,psnr,skip
0,0.015068976084391277,1.0,0.0
1,0.012830464045206706,1.0,0.0
2,0.014023510615030925,1.0,0.0
3,0.013690439860026042,1.0,0.0
4,0.012338844935099284,1.0,0.0
5,0.01363369623819987,1.0,0.0
6,0.01479336420694987,1.0,0.0
7,0.012716023127237956,1.0,0.0
8,0.014074293772379558,1.0,0.0
9,0.01273485819498698,1.0,0.0
10,0.013217894236246745,1.0,0.0
11,0.013051239649454753,1.0,0.0
12,0.012923447291056316,1.0,0.0
13,0.012701002756754558,1.0,0.0
14,0.012895790735880534,1.0,0.0
15,0.012859789530436198,1.0,0.0
16,0.013484684626261394,1.0,0.0
17,0.013530222574869792,1.0,0.0
18,0.013236490885416667,1.0,0.0
19,0.013922182718912761,1.0,0.0
20,0.012897459665934245,1.0,0.0
21,0.013341395060221355,1.0,0.0
22,0.012409178415934245,1.0,0.0
23,0.013206211725870769,1.0,0.0
24,0.013349501291910808,1.0,0.0
25,0.012720791498819987,1.0,0.0
26,0.013707605997721355,1.0,0.0
27,0.013745752970377605,1.0,0.0
28,0.012766806284586589,1.0,0.0
29,0.013928620020548503,1.0,0.0
30,0.014174667994181316,1.0,0.0
31,0.012656180063883464,1.0,0.0
32,0.013849465052286784,1.0,0.0
33,0.012923685709635417,1.0,0.0
34,0.01394030253092448,1.0,0.0
35,0.01300355593363444,1.0,0.0
36,0.013063160578409831,1.0,0.0
37,0.01245423952738444,1.0,0.0
38,0.012633053461710612,1.0,0.0
39,0.013781277338663737,1.0,0.0
40,0.012745825449625652,1.0,0.0
41,0.013806788126627605,1.0,0.0
42,0.013037888209025066,1.0,0.0
43,0.012382237116495769,1.0,0.0
44,0.013411013285319011,1.0,0.0
45,0.013246981302897136,1.0,0.0
46,0.012960879007975261,1.0,0.0
47,0.012264219919840495,1.0,0.0
48,0.013325659434000652,1.0,0.0
49,0.01338335673014323,1.0,0.0
50,0.01360460917154948,1.0,0.0
51,0.013381210962931316,1.0,0.0
52,0.012623039881388347,1.0,0.0
53,0.013213364283243816,1.0,0.0
54,0.012384144465128581,1.0,0.0
55,0.014063326517740886,1.0,0.0
56,0.01255032221476237,1.0,0.0
57,0.012983290354410808,1.0,0.0
58,0.013338295618693034,1.0,0.0
59,0.013291565577189128,1.0,0.0
60,0.012433258692423503,1.0,0.0
61,0.012964455286661784,1.0,0.0
62,0.012290684382120769,1.0,0.0
63,0.013732401529947917,1.0,0.0
64,0.012529102961222331,1.0,0.0
65,0.012761322657267253,1.0,0.0
66,0.013169972101847331,1.0,0.0
67,0.013431278864542644,1.0,0.0
68,0.012970892588297527,1.0,0.0
69,0.013833014170328777,1.0,0.0
70,0.01306602160135905,1.0,0.0
71,0.01281735102335612,1.0,0.0
72,0.013043610254923503,1.0,0.0
73,0.013826576868693034,1.0,0.0
74,0.01331469217936198,1.0,0.0
75,0.012091128031412761,1.0,0.0
76,0.013860193888346355,1.0,0.0
77,0.013296572367350261,1.0,0.0
78,0.014015642801920573,1.0,0.0
79,0.013115612665812175,1.0,0.0
80,0.012770382563273112,1.0,0.0
81,0.013231960932413737,1.0,0.0
82,0.013005224863688152,1.0,0.0
83,0.012903181711832683,1.0,0.0
84,0.013025490442911784,1.0,0.0
85,0.012965170542399089,1.0,0.0
86,0.013027397791544597,1.0,0.0
87,0.01282045046488444,1.0,0.0
88,0.013232914606730144,1.0,0.0
89,0.012161461512247722,1.0,0.0
90,0.012947765986124675,1.0,0.0
91,0.013063875834147136,1.0,0.0
92,0.0127989927927653,1.0,0.0
93,0.01326438585917155,1.0,0.0
94,0.013036457697550456,1.0,0.0
95,0.012696949640909831,1.0,0.0
96,0.012994734446207683,1.0,0.0
97,0.013297049204508464,1.0,0.0
98,0.013731924692789714,1.0,0.0
99,0.013097731272379558,1.0,0.0
